"","term","Group","Umbrella","OriginalReadCode","CleansedReadCode"
"624","right sided intracerebral haemorrhage, unspecified","Intracranial haemorrhage","Cerebrovascular disease","G61X1","G61X100"
"625","ruptured berry aneurysm","Cerebral ischaemia","Cerebrovascular disease","G600","G600.00"
"626","sacral spina bifida with hydrocephalus - closed","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P1034","P103400"
"627","sacral spina bifida with hydrocephalus - open","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P1024","P102400"
"628","sacral spina bifida without hydrocephalus - closed","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P1184","P118400"
"629","sacral spina bifida without hydrocephalus - open","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P1174","P117400"
"630","salaam attacks","Epilepsy","Epilepsy or seizures","F2561","F256100"
"631","schilders disease","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F211","F211.00"
"632","secondary parkinsonism, unspecified","Parkinson's Disease","Parkinsonism other","F12X","F12X.00"
"633","secondary parkinsonism, unspecified","Parkinson's Disease","Parkinsonism other","F12X","F12X.00"
"634","secondary progressive multiple sclerosis","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F208","F208.00"
"635","seen by parkinsons service","Parkinson's Disease","Parkinson's Disease","EMISNQSE120",""
"636","seizure free >12 months","Epilepsy","Epilepsy or seizures","667F","667F.00"
"637","senile dementia","Dementia unknown/unspecified/other","Dementia","E00-1","E00..11"
"638","senile dementia with delirium","Dementia unknown/unspecified/other","Dementia","E003","E003.00"
"639","senile dementia with depression","Dementia unknown/unspecified/other","Dementia","E0021","E002100"
"640","senile dementia with depressive or paranoid features","Dementia unknown/unspecified/other","Dementia","E002","E002.00"
"641","senile dementia with depressive or paranoid features nos","Dementia unknown/unspecified/other","Dementia","E002z","E002z00"
"642","senile dementia with paranoia","Dementia unknown/unspecified/other","Dementia","E0020","E002000"
"643","senile/presenile dementia","Dementia unknown/unspecified/other","Dementia","E00-2","E00..12"
"644","sensory induced epilepsy","Epilepsy","Epilepsy or seizures","F2551","F255100"
"645","sequelae of cerebral infarction","Cerebral ischaemia","Cerebrovascular disease","G683","G683.00"
"646","sequelae of intracerebral haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","G681","G681.00"
"647","sequelae of other nontraumatic intracranial haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","G682","G682.00"
"648","sequelae of stroke,not specfd as hmorrhage or infarction","Cerebral ischaemia","Cerebrovascular disease","G68X","G68X.00"
"649","sequelae of stroke,not specfd as hmorrhage or infarction","Cerebral ischaemia","Cerebrovascular disease","G68X","G68X.00"
"650","sequelae of subarachnoid haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","G680","G680.00"
"651","sequelae/other + unspecified cerebrovascular diseases","Cerebrovascular disease","Cerebrovascular disease","G68W","G68W.00"
"652","sever operation for erbs palsy","Mononeuropathy","Disorders of nerve root, plexus or peripheral nerves","7L0D1-5","7L0D115"
"653","severe myoclonic epilepsy in infancy","Epilepsy","Epilepsy or seizures","F25G","F25G.00"
"654","shared care prescribing of drugs for dementia","Dementia unknown/unspecified/other","Dementia","8BM50",""
"655","shared care prescribing of drugs for dementia declined","Dementia unknown/unspecified/other","Dementia","8BM60",""
"656","signposting to dementia support service","Dementia unknown/unspecified/other","Dementia","ESCTSI53",""
"657","simple partial epileptic seizure","Epilepsy","Epilepsy or seizures","F2556","F255600"
"658","small vessel cerebrovascular disease","Cerebral ischaemia","Cerebrovascular disease","G679","G679.00"
"659","somatosensory epilepsy","Epilepsy","Epilepsy or seizures","F2552","F255200"
"660","spastic cerebral palsy","Cerebral palsy","Cerebral palsy","F23y2","F23y200"
"661","spastic diplegic cerebral palsy","Cerebral palsy","Cerebral palsy","F2301-1","F230111"
"662","spastic foot","Spasticity","Spinal cord disorders","F221-1","F221.11"
"663","spastic hemiplegia","Paralytic symptoms","Paralysis","F221","F221.00"
"664","spastic hemiplegic cerebral palsy","Cerebral palsy","Cerebral palsy","F2B1","F2B1.00"
"665","spastic paraparesis","Degenerative myelopathic disorders","Spinal cord disorders","EMISR4QSP1",""
"666","spastic paraplegia","Degenerative myelopathic disorders","Spinal cord disorders","F2411","F241100"
"667","spastic quadriplegic cerebral palsy","Cerebral palsy","Cerebral palsy","F2B0","F2B0.00"
"668","spastic tetraplegia","Paralytic symptoms","Paralysis","F2401","F240100"
"669","spec serv for pat with multiple sclerosis - enh serv admin","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","9kG","9kG..00"
"670","specified palsy nec","Mononeuropathy","Disorders of nerve root, plexus or peripheral nerves","F24yz-1","F24yz11"
"671","spina bifida with hydrocephalus","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P10","P10..00"
"672","spina bifida with hydrocephalus - closed","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P103","P103.00"
"673","spina bifida with hydrocephalus - open","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P102","P102.00"
"674","spina bifida with hydrocephalus - open nos","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P102z","P102z00"
"675","spina bifida with hydrocephalus nos","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P100z","P100z00"
"676","spina bifida with hydrocephalus nos","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P10z","P10z.00"
"677","spina bifida with hydrocephalus of late onset","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P104","P104.00"
"678","spina bifida with hydrocephalus, unspecified","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P1000","P100000"
"679","spina bifida without hydrocephalus - closed","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P118","P118.00"
"680","spina bifida without hydrocephalus - closed nos","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P118z","P118z00"
"681","spina bifida without hydrocephalus - open","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P117","P117.00"
"682","spina bifida without hydrocephalus - open nos","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P117z","P117z00"
"683","spina bifida without hydrocephalus, site unspecified","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P1100","P110000"
"684","spina bifida without mention of hydrocephalus","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P11","P11..00"
"685","spina bifida without mention of hydrocephalus nos","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P11z","P11z.00"
"686","spinal demyelination","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","EMISR4QSP2",""
"687","spinal muscular atrophy","Spinal muscular atrophy","Motor neuron diseases or related disorders","F151","F151.00"
"688","spinal muscular atrophy nos","Spinal muscular atrophy","Motor neuron diseases or related disorders","F151z","F151z00"
"689","spinocerebellar disease","Ataxic disorders","Ataxic disorders","F14","F14..00"
"690","spinocerebellar disease nos","Ataxic disorders","Ataxic disorders","F14z","F14z.00"
"691","status epilepticus","Epilepsy","Epilepsy or seizures","F253-1","F253.11"
"692","status epilepticus, unspecified","Epilepsy","Epilepsy or seizures","F25X","F25X.00"
"693","status epilepticus, unspecified","Epilepsy","Epilepsy or seizures","F25X","F25X.00"
"694","stenosis of precerebral arteries","Cerebral ischaemia","Cerebrovascular disease","G63-2","G63..12"
"695","stenosis, carotid artery","Cerebral ischaemia","Cerebrovascular disease","G631-1","G631.11"
"696","stenosis, carotid artery","Cerebral ischaemia","Cerebrovascular disease","G631-1","G631.11"
"697","stress-induced epilepsy","Epilepsy","Epilepsy or seizures","F25E","F25E.00"
"698","stroke / transient ischaemic attack referral","Cerebral ischaemia","Cerebrovascular disease","8HBJ","8HBJ.00"
"699","stroke 6 month review","Cerebral ischaemia","Cerebrovascular disease","662M1","662M100"
"700","stroke and cerebrovascular accident unspecified","Cerebral ischaemia","Cerebrovascular disease","G66","G66..00"
"701","stroke annual review","Cerebral ischaemia","Cerebrovascular disease","662e-1","662e.11"
"702","stroke due to cerebral arterial occlusion","Cerebral ischaemia","Cerebrovascular disease","G64-3","G64..13"
"703","stroke due to intracerebral haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","G61-2","G61..12"
"704","stroke group member","Cerebral ischaemia","Cerebrovascular disease","13YA","13YA.00"
"705","stroke in the puerperium","Cerebral ischaemia","Cerebrovascular disease","L440-2","L440.12"
"706","stroke monitoring","Cerebral ischaemia","Cerebrovascular disease","662M","662M.00"
"707","stroke monitoring invite 1","Cerebral ischaemia","Cerebrovascular disease","EMISNQST2",""
"708","stroke monitoring invite 2","Cerebral ischaemia","Cerebrovascular disease","EMISNQST3",""
"709","stroke monitoring invite 3","Cerebral ischaemia","Cerebrovascular disease","EMISNQST4",""
"710","stroke self-management plan agreed","Cerebral ischaemia","Cerebrovascular disease","661M7","661M700"
"711","stroke unspecified","Cerebral ischaemia","Cerebrovascular disease","G66-2","G66..12"
"712","stroke/cva annual review","Cerebral ischaemia","Cerebrovascular disease","662e","662e.00"
"713","stroke/transient ischaemic attack monitoring administration","Cerebral ischaemia","Cerebrovascular disease","9Om","9Om..00"
"714","stroke/transient ischaemic attack monitoring first letter","Cerebral ischaemia","Cerebrovascular disease","9Om0","9Om0.00"
"715","stroke/transient ischaemic attack monitoring second letter","Cerebral ischaemia","Cerebrovascular disease","9Om1","9Om1.00"
"716","stroke/transient ischaemic attack monitoring third letter","Cerebral ischaemia","Cerebrovascular disease","9Om2","9Om2.00"
"717","stroke/transient ischaemic attack monitoring verbal invitati","Cerebral ischaemia","Cerebrovascular disease","9Om3","9Om3.00"
"718","subacute confusional state, of cerebrovascular origin","Cerebrovascular disease","Cerebrovascular disease","E0314","E031400"
"719","subacute confusional state, of cerebrovascular origin","Cerebrovascular disease","Cerebrovascular disease","E0314","E031400"
"720","subarachnoid haemorrh from intracranial artery, unspecif","Intracranial haemorrhage","Cerebrovascular disease","G60X","G60X.00"
"721","subarachnoid haemorrh from intracranial artery, unspecif","Intracranial haemorrhage","Cerebrovascular disease","G60X","G60X.00"
"722","subarachnoid haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","G60","G60..00"
"723","subarachnoid haemorrhage from anterior communicating artery","Intracranial haemorrhage","Cerebrovascular disease","G603","G603.00"
"724","subarachnoid haemorrhage from basilar artery","Intracranial haemorrhage","Cerebrovascular disease","G605","G605.00"
"725","subarachnoid haemorrhage from carotid siphon and bifurcation","Intracranial haemorrhage","Cerebrovascular disease","G601","G601.00"
"726","subarachnoid haemorrhage from middle cerebral artery","Intracranial haemorrhage","Cerebrovascular disease","G602","G602.00"
"727","subarachnoid haemorrhage from posterior communicating artery","Intracranial haemorrhage","Cerebrovascular disease","G604","G604.00"
"728","subarachnoid haemorrhage from vertebral artery","Intracranial haemorrhage","Cerebrovascular disease","G606","G606.00"
"729","subarachnoid haemorrhage nos","Intracranial haemorrhage","Cerebrovascular disease","G60z","G60z.00"
"730","subcortical vascular dementia, other mixed symptoms","Vascular dementia","Dementia","EMISICD10|F0124",""
"731","subcortical vascular dementia, other symptoms, predominantly delusional","Vascular dementia","Dementia","EMISICD10|F0121",""
"732","subcortical vascular dementia, other symptoms, predominantly depressive","Vascular dementia","Dementia","EMISICD10|F0123",""
"733","subcortical vascular dementia, other symptoms, predominantly hallucinatory","Vascular dementia","Dementia","EMISICD10|F0122",""
"734","subcortical vascular dementia, without additional symptoms","Vascular dementia","Dementia","EMISICD10|F0120",""
"735","subdural haemorrhage - nontraumatic","Intracranial haemorrhage","Cerebrovascular disease","G621","G621.00"
"736","subdural haemorrhage nos","Intracranial haemorrhage","Cerebrovascular disease","G623","G623.00"
"737","sudep - sudden unexpected death in epilepsy","Epilepsy","Epilepsy or seizures","94F1",""
"738","supranuclear paralysis","Paralytic symptoms","Paralysis","F36y0","F36y000"
"739","suspected cerebrovascular disease","Cerebrovascular disease","Cerebrovascular disease","1JA1","1JA1.00"
"740","suspected stroke","Cerebral ischaemia","Cerebrovascular disease","1JA10-1","1JA1011"
"741","suspected stroke","Cerebral ischaemia","Cerebrovascular disease","EMISNQSU28",""
"742","suspected transient ischaemic attack","Cerebral ischaemia","Cerebrovascular disease","1JK","1JK..00"
"743","suspected transient ischaemic attack","Cerebral ischaemia","Cerebrovascular disease","EMISNQSU26",""
"744","sydenhams chorea","Huntington/Chorea","Movement disorders other","G02-1","G02..11"
"745","syphilitic parkinsonism","Parkinson's Disease","Parkinsonism other","A94y1","A94y100"
"746","tardy ulnar nerve palsy","Mononeuropathy","Disorders of nerve root, plexus or peripheral nerves","F3421","F342100"
"747","temporal lobe epilepsy","Epilepsy","Epilepsy or seizures","F2540","F254000"
"748","tetraplegia","Paralytic symptoms","Paralysis","F240-1","F240.11"
"749","tetraplegia - congenital","Paralytic symptoms","Paralysis","F232-1","F232.11"
"750","thoracic spina bifida with hydrocephalus","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P1002","P100200"
"751","thoracic spina bifida with hydrocephalus - open","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P1022","P102200"
"752","thoracic spina bifida without hydrocephalus - open","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P1172","P117200"
"753","thoracic spina bifida without mention of hydrocephalus","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P1102","P110200"
"754","thoracolumbar spina bifida with hydrocephalus - closed","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P103z-1","P103z11"
"755","tia clinical management plan no longer in place","Cerebral ischaemia","Cerebrovascular disease","EMISNQTI19",""
"756","tonic-clonic epilepsy","Epilepsy","Epilepsy or seizures","F2515","F251500"
"757","tonic-clonic epilepsy","Epilepsy","Epilepsy or seizures","F2510-1","F251011"
"758","toxic encephalopathy","Exclude","Exclude","F29y3","F29y300"
"759","transient cerebral ischaemia","Cerebral ischaemia","Cerebrovascular disease","G65","G65..00"
"760","transient cerebral ischaemia nos","Cerebral ischaemia","Cerebrovascular disease","G65z","G65z.00"
"761","transient cerebral ischaemia nos","Cerebral ischaemia","Cerebrovascular disease","G65zz","G65zz00"
"762","transient epileptic amnesia","Epilepsy","Epilepsy or seizures","1B1W","1B1W.00"
"763","transient ischaemic attack","Cerebral ischaemia","Cerebrovascular disease","G65-2","G65..12"
"764","transient ischaemic attack clinical management plan","Cerebral ischaemia","Cerebrovascular disease","8CRB","8CRB.00"
"765","transient ischaemic attack monitoring","Cerebral ischaemia","Cerebrovascular disease","EMISNQTR28",""
"766","transverse myelitis","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F03-3","F03..13"
"767","transverse myelitis","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F037","F037.00"
"768","traumatic epilepsy","Epilepsy","Epilepsy or seizures","SC200","SC20000"
"769","traumatic subdural haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","S628","S628.00"
"770","tremors/seizures","Epilepsy","Epilepsy or seizures","EMISCTR3",""
"771","tropical spastic paraplegia","Degenerative myelopathic disorders","Spinal cord disorders","F038","F038.00"
"773","uncomplicated arteriosclerotic dementia","Vascular dementia","Dementia","E0040","E004000"
"774","uncomplicated presenile dementia","Dementia unknown/unspecified/other","Dementia","E0010","E001000"
"775","uncomplicated senile dementia","Dementia unknown/unspecified/other","Dementia","E000","E000.00"
"776","unilateral epilepsy","Epilepsy","Epilepsy or seizures","F2555","F255500"
"777","unspecified dementia, other mixed symptoms","Dementia unknown/unspecified/other","Dementia","EMISICD10|F03X4",""
"778","unspecified dementia, other symptoms, predominantly delusional","Dementia unknown/unspecified/other","Dementia","EMISICD10|F03X1",""
"779","unspecified dementia, other symptoms, predominantly depressive","Dementia unknown/unspecified/other","Dementia","EMISICD10|F03X3",""
"780","unspecified dementia, other symptoms, predominantly hallucinatory","Dementia unknown/unspecified/other","Dementia","EMISICD10|F03X2",""
"781","unspecified dementia, without additional symptoms","Dementia unknown/unspecified/other","Dementia","EMISICD10|F03X0",""
"782","unspecified encephalopathy","Exclude","Exclude","F283","F283.00"
"783","unspecified spina bifida with hydrocephalus","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P100","P100.00"
"784","unspecified spina bifida without hydrocephalus - closed","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P1180","P118000"
"785","unspecified spina bifida without hydrocephalus nos","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P110z","P110z00"
"786","unspecified spinal muscular atrophy","Spinal muscular atrophy","Motor neuron diseases or related disorders","F1510","F151000"
"787","upper limb flaccidity","Paralytic symptoms","Paralysis","294E","294E.00"
"788","upper limb spasticity","Spasticity","Spinal cord disorders","294A","294A.00"
"789","variant creutzfeldt-jakob disease","Human prion disorders","Dementia","EMISNQVA13",""
"790","varicella transverse myelitis","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F0370","F037000"
"791","vascular dementia of acute onset, other mixed symptoms","Vascular dementia","Dementia","EMISICD10|F0104",""
"792","vascular dementia of acute onset, other symptoms, predominantly delusional","Vascular dementia","Dementia","EMISICD10|F0101",""
"793","vascular dementia of acute onset, other symptoms, predominantly depressive","Vascular dementia","Dementia","EMISICD10|F0103",""
"794","vascular dementia of acute onset, other symptoms, predominantly hallucinatory","Vascular dementia","Dementia","EMISICD10|F0102",""
"795","vascular dementia of acute onset, without additional symptoms","Vascular dementia","Dementia","EMISICD10|F0100",""
"796","vascular dementia, unspecified, other mixed symptoms","Vascular dementia","Dementia","EMISICD10|F0194",""
"797","vascular dementia, unspecified, other symptoms, predominantly delusional","Vascular dementia","Dementia","EMISICD10|F0191",""
"798","vascular dementia, unspecified, other symptoms, predominantly depressive","Vascular dementia","Dementia","EMISICD10|F0193",""
"799","vascular dementia, unspecified, other symptoms, predominantly hallucinatory","Vascular dementia","Dementia","EMISICD10|F0192",""
"800","vascular dementia, unspecified, without additional symptoms","Vascular dementia","Dementia","EMISICD10|F0190",""
"801","vascular parkinsonism","Parkinson's Disease","Parkinsonism other","F124","F124.00"
"802","vertebral artery occlusion","Cerebral ischaemia","Cerebrovascular disease","G632","G632.00"
"803","vertebral artery syndrome","Cerebral ischaemia","Cerebrovascular disease","G651","G651.00"
"804","vertebro-basilar artery syndrome","Cerebral ischaemia","Cerebrovascular disease","G6510","G651000"
"805","vertebro-basilar insufficiency","Cerebral ischaemia","Cerebrovascular disease","G65-3","G65..13"
"806","vertebrobasilar insufficiency","Cerebral ischaemia","Cerebrovascular disease","G656","G656.00"
"807","visceral reflex epilepsy","Epilepsy","Epilepsy or seizures","F2553","F255300"
"808","visual reflex epilepsy","Epilepsy","Epilepsy or seizures","F2554","F255400"
"809","wallenberg syndrome","Vascular syndromes of brain in cerebrovascular diseases","Cerebrovascular disease","G64z1","G64z100"
"810","wernickes encephalopathy","Exclude","Exclude","C253","C253.00"
"811","wernickes encephalopathy","Exclude","Exclude","C251-1","C251.11"
"812","west syndrome","Epilepsy","Epilepsy or seizures","F256-2","F256.12"
"813","worsening limb spasticity","Spasticity","Spinal cord disorders","294B","294B.00"
"814","x-linked hydrocephalus","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P235","P235.00"
"141","ataxia","Ataxic disorders","Ataxic disorders",NA,"Z7E4.00"
"2100","cerebellar ataxia","Ataxic disorders","Ataxic disorders",NA,"Z7E4400"
"3100","truncal ataxia","Ataxic disorders","Ataxic disorders",NA,"Z7E4300"
